Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,2,6,D4,0.0196,0.0285,0.0281,0.0085,0.0004,8.5,0.4,4.706,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,7,6,D9,0.018,0.0301,0.0297,0.0117,0.0004,11.7,0.4,3.419,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,9,6,B5,0.0223,0.0436,0.0411,0.0188,0.0025,18.8,2.5,13.298,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,3,6,A11,0.0197,0.0362,0.035,0.0153,0.0012,15.3,1.2,7.843,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,2,6,A10,0.0192,0.0306,0.0298,0.0106,0.0008,10.6,0.8,7.547,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,6,6,B2,0.0187,0.035,0.0339,0.0152,0.0011,15.2,1.1,7.237,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,7,6,B3,0.0181,0.0318,0.0309,0.0128,0.0009,12.8,0.9,7.031,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,1,6,A9,0.0262,0.0384,0.0376,0.0114,0.0008,11.4,0.8,7.018,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,5,6,B1,0.0176,0.0371,0.0359,0.0183,0.0012,18.3,1.2,6.557,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,10,6,B6,0.019,0.0386,0.0374,0.0184,0.0012,18.4,1.2,6.522,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,8,6,B4,0.0185,0.0314,0.0307,0.0122,0.0007,12.2,0.7,5.738,
Ostrea lurida,Yellow,18,21˚C,Tide,15˚C,4,6,A12,0.0226,0.0461,0.045,0.0224,0.0011,22.4,1.1,4.911,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,1,6,B7,0.0194,0.0281,0.0272,0.0078,0.0009,7.8,0.9,11.538,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,5,6,B11,0.0164,0.0261,0.0252,0.0088,0.0009,8.8,0.9,10.227,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,8,6,C2,0.02,0.0303,0.0295,0.0095,0.0008,9.5,0.8,8.421,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,7,6,C1,0.0165,0.0299,0.0289,0.0124,0.001,12.4,1,8.065,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,6,6,B12,0.0224,0.0477,0.0459,0.0235,0.0018,23.5,1.8,7.660,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,2,6,B8,0.019,0.0351,0.034,0.015,0.0011,15,1.1,7.333,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,4,6,B10,0.0171,0.0289,0.0281,0.011,0.0008,11,0.8,7.273,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,9,6,C3,0.0189,0.0264,0.026,0.0071,0.0004,7.1,0.4,5.634,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,10,6,C4,0.0177,0.0391,0.038,0.0203,0.0011,20.3,1.1,5.419,
Ostrea lurida,Yellow,18,21˚C,Tide,21˚C,3,6,B9,0.0157,0.0294,0.0287,0.013,0.0007,13,0.7,5.385,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,2,5,H2,0.021,0.0311,0.0302,0.0092,0.0009,9.2,0.9,9.783,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,1,5,H1,0.0167,0.0276,0.0267,0.01,0.0009,10,0.9,9.000,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,9,5,H9,0.0165,0.0373,0.0357,0.0192,0.0016,19.2,1.6,8.333,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,6,5,H6,0.0182,0.0287,0.0279,0.0097,0.0008,9.7,0.8,8.247,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,10,5,H10,0.0187,0.0294,0.0286,0.0099,0.0008,9.9,0.8,8.081,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,8,5,H8,0.0183,0.0387,0.0373,0.019,0.0014,19,1.4,7.368,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,3,5,H3,0.016,0.0309,0.0299,0.0139,0.001,13.9,1,7.194,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,5,5,H5,0.0142,0.0275,0.0268,0.0126,0.0007,12.6,0.7,5.556,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,7,5,H7,0.0223,0.0397,0.0388,0.0165,0.0009,16.5,0.9,5.455,
Ostrea lurida,Yellow,17,21˚C,No Tide,15˚C,4,5,H4,0.0214,0.0319,0.0315,0.0101,0.0004,10.1,0.4,3.960,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,1,5,H11,0.0201,0.0262,0.0256,0.0055,0.0006,5.5,0.6,10.909,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,5,6,A3,0.0184,0.0259,0.0252,0.0068,0.0007,6.8,0.7,10.294,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,8,6,A6,0.0172,0.0373,0.0355,0.0183,0.0018,18.3,1.8,9.836,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,2,5,H12,0.0186,0.0352,0.0338,0.0152,0.0014,15.2,1.4,9.211,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,3,6,A1,0.0165,0.0269,0.0261,0.0096,0.0008,9.6,0.8,8.333,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,9,6,A7,0.016,0.0352,0.0339,0.0179,0.0013,17.9,1.3,7.263,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,6,6,A4,0.0205,0.0338,0.0329,0.0124,0.0009,12.4,0.9,7.258,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,10,6,A8,0.0166,0.0335,0.0324,0.0158,0.0011,15.8,1.1,6.962,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,7,6,A5,0.0201,0.045,0.0436,0.0235,0.0014,23.5,1.4,5.957,
Ostrea lurida,Yellow,17,21˚C,No Tide,21˚C,4,6,A2,0.0218,0.0411,0.0404,0.0186,0.0007,18.6,0.7,3.763,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,10,5,G2,0.0177,0.0177,0.0177,0,0,0,0,NA,*DEAD*
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,7,5,F11,0.0174,0.022,0.0211,0.0037,0.0009,3.7,0.9,24.324,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,3,5,F7,0.019,0.0328,0.0315,0.0125,0.0013,12.5,1.3,10.400,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,6,5,F10,0.0169,0.0258,0.025,0.0081,0.0008,8.1,0.8,9.877,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,8,5,F12,0.0197,0.03,0.0292,0.0095,0.0008,9.5,0.8,8.421,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,9,5,G1,0.0179,0.0286,0.0278,0.0099,0.0008,9.9,0.8,8.081,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,1,5,F5,0.0269,0.0422,0.0411,0.0142,0.0011,14.2,1.1,7.746,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,2,5,F6,0.0183,0.032,0.0311,0.0128,0.0009,12.8,0.9,7.031,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,5,5,F9,0.0207,0.0408,0.0395,0.0188,0.0013,18.8,1.3,6.915,
Ostrea lurida,Yellow,17,21˚C,Tide,15˚C,4,5,F8,0.0179,0.0229,0.0227,0.0048,0.0002,4.8,0.2,4.167,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,1,5,G3,0.0196,0.031,0.03,0.0104,0.001,10.4,1,9.615,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,10,5,G12,0.0177,0.0273,0.0265,0.0088,0.0008,8.8,0.8,9.091,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,9,5,G11,0.0186,0.0301,0.0292,0.0106,0.0009,10.6,0.9,8.491,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,2,5,G4,0.0162,0.0252,0.0245,0.0083,0.0007,8.3,0.7,8.434,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,6,5,G8,0.0156,0.0292,0.0283,0.0127,0.0009,12.7,0.9,7.087,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,7,5,G9,0.0208,0.0467,0.045,0.0242,0.0017,24.2,1.7,7.025,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,4,5,G6,0.0187,0.0376,0.0364,0.0177,0.0012,17.7,1.2,6.780,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,3,5,G5,0.0167,0.0283,0.0276,0.0109,0.0007,10.9,0.7,6.422,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,8,5,G10,0.0172,0.0329,0.032,0.0148,0.0009,14.8,0.9,6.081,
Ostrea lurida,Yellow,17,21˚C,Tide,21˚C,5,5,G7,0.0191,0.0528,0.051,0.0319,0.0018,31.9,1.8,5.643,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,3,5,D11,0.0195,0.0311,0.0302,0.0107,0.0009,10.7,0.9,8.411,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,6,5,E2,0.0223,0.0455,0.0437,0.0214,0.0018,21.4,1.8,8.411,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,10,5,E6,0.0218,0.0297,0.0291,0.0073,0.0006,7.3,0.6,8.219,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,1,5,D9,0.0197,0.0382,0.0369,0.0172,0.0013,17.2,1.3,7.558,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,7,5,E3,0.0174,0.0361,0.0348,0.0174,0.0013,17.4,1.3,7.471,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,8,5,E4,0.0219,0.032,0.0313,0.0094,0.0007,9.4,0.7,7.447,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,2,5,D10,0.0186,0.033,0.0321,0.0135,0.0009,13.5,0.9,6.667,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,4,5,D12,0.0212,0.0376,0.0366,0.0154,0.001,15.4,1,6.494,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,9,5,E5,0.0173,0.0296,0.0289,0.0116,0.0007,11.6,0.7,6.034,
Ostrea lurida,Yellow,16,21˚C,No Tide,15˚C,5,5,E1,0.0184,0.0419,0.0409,0.0225,0.001,22.5,1,4.444,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,1,5,E7,0.0256,0.0507,0.0481,0.0225,0.0026,22.5,2.6,11.556,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,10,5,F4,0.0188,0.0336,0.0325,0.0137,0.0011,13.7,1.1,8.029,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,7,5,F1,0.0159,0.0301,0.0291,0.0132,0.001,13.2,1,7.576,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,5,5,E11,0.0198,0.054,0.0517,0.0319,0.0023,31.9,2.3,7.210,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,4,5,E10,0.0177,0.0435,0.042,0.0243,0.0015,24.3,1.5,6.173,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,8,5,F2,0.0161,0.0282,0.0275,0.0114,0.0007,11.4,0.7,6.140,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,6,5,E12,0.0158,0.0327,0.0318,0.016,0.0009,16,0.9,5.625,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,3,5,E9,0.0213,0.0433,0.0422,0.0209,0.0011,20.9,1.1,5.263,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,9,5,F3,0.0177,0.0312,0.0307,0.013,0.0005,13,0.5,3.846,
Ostrea lurida,Yellow,16,21˚C,No Tide,21˚C,2,5,E8,0.0169,0.0374,0.0368,0.0199,0.0006,19.9,0.6,3.015,
Ostrea lurida,Yellow,16,21˚C,Tide,15˚C,10,5,C10,0.0182,0.0183,0.0182,0,0.0001,0,0.1,NA,*DEAD*
