Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,11,24,Tide,21,3,5,C5,0.015,0.0235,0.0227,0.0077,8e-4,7.7,0.8,10.39,NA
Ostrea lurida,Yellow,11,24,Tide,21,4,5,C6,0.0192,0.0403,0.0373,0.0181,0.003,18.1,3,16.575,NA
Ostrea lurida,Yellow,11,24,Tide,21,5,5,C7,0.014,0.0342,0.0333,0.0193,9e-4,19.3,0.9,4.663,NA
Ostrea lurida,Yellow,11,24,Tide,21,6,5,C8,0.0221,0.061,0.0593,0.0372,0.0017,37.2,1.7,4.57,NA
Ostrea lurida,Yellow,11,24,Tide,21,7,5,C9,0.0134,0.021,0.0206,0.0072,4e-4,7.2,0.4,5.556,NA
Ostrea lurida,Yellow,11,24,Tide,21,8,5,C10,0.0184,0.0264,0.0253,0.0069,0.0011,6.9,1.1,15.942,NA
Ostrea lurida,Yellow,11,24,Tide,21,9,5,C11,0.0151,0.027,0.0252,0.0101,0.0018,10.1,1.8,17.822,NA
Ostrea lurida,Yellow,11,24,Tide,21,10,5,C12,0.0173,0.0246,0.0229,0.0056,0.0017,5.6,1.7,30.357,NA
Ostrea lurida,Yellow,11,24,No Tide,15,1,5,D1,0.017,0.0445,0.0419,0.0249,0.0026,24.9,2.6,10.442,NA
Ostrea lurida,Yellow,11,24,No Tide,15,2,5,D2,0.0133,0.0233,0.0224,0.0091,9e-4,9.1,0.9,9.89,NA
Ostrea lurida,Yellow,11,24,No Tide,15,3,5,D3,0.0178,0.034,0.0325,0.0147,0.0015,14.7,1.5,10.204,NA
Ostrea lurida,Yellow,11,24,No Tide,15,4,5,D4,0.0137,0.0267,0.0261,0.0124,6e-4,12.4,0.6,4.839,NA
Ostrea lurida,Yellow,11,24,No Tide,15,5,5,D5,0.0163,0.0451,0.0439,0.0276,0.0012,27.6,1.2,4.348,NA
Ostrea lurida,Yellow,11,24,No Tide,15,6,5,D6,0.0135,0.0237,0.023,0.0095,7e-4,9.5,0.7,7.368,NA
Ostrea lurida,Yellow,11,24,No Tide,15,7,5,D7,0.019,0.0328,0.0321,0.0131,7e-4,13.1,0.7,5.344,NA
Ostrea lurida,Yellow,11,24,No Tide,15,8,5,D8,0.0253,0.0396,0.0381,0.0128,0.0015,12.8,1.5,11.719,NA
Ostrea lurida,Yellow,11,24,No Tide,15,9,5,D9,0.0218,0.0374,0.0362,0.0144,0.0012,14.4,1.2,8.333,NA
Ostrea lurida,Yellow,11,24,No Tide,15,10,5,D10,0.0145,0.0248,0.0242,0.0097,6e-4,9.7,0.6,6.186,NA
Ostrea lurida,Yellow,11,24,No Tide,21,1,5,D11,0.0096,0.0248,0.0239,0.0143,9e-4,14.3,0.9,6.294,NA
Ostrea lurida,Yellow,11,24,No Tide,21,2,5,D12,0.0126,0.0431,0.0411,0.0285,0.002,28.5,2,7.018,NA
Ostrea lurida,Yellow,11,24,No Tide,21,3,5,E1,0.0217,0.0295,0.0291,0.0074,4e-4,7.4,0.4,5.405,NA
Ostrea lurida,Yellow,11,24,No Tide,21,4,5,E2,0.0141,0.0222,0.0217,0.0076,5e-4,7.6,0.5,6.579,NA
Ostrea lurida,Yellow,11,24,No Tide,21,5,5,E3,0.0218,0.0338,0.0332,0.0114,6e-4,11.4,0.6,5.263,NA
Ostrea lurida,Yellow,11,24,No Tide,21,6,5,E4,0.0162,0.0264,0.0256,0.0094,8e-4,9.4,0.8,8.511,NA
Ostrea lurida,Yellow,11,24,No Tide,21,7,5,E5,0.0154,0.0231,0.0223,0.0069,8e-4,6.9,0.8,11.594,NA
Ostrea lurida,Yellow,11,24,No Tide,21,8,5,E6,0.0165,0.0233,0.0229,0.0064,4e-4,6.4,0.4,6.25,NA
Ostrea lurida,Yellow,11,24,No Tide,21,9,5,E7,0.0149,0.0204,0.0201,0.0052,3e-4,5.2,0.3,5.769,NA
Ostrea lurida,Yellow,11,24,No Tide,21,10,5,E8,0.0218,0.0273,0.0267,0.0049,6e-4,4.9,0.6,12.245,NA
Ostrea lurida,Yellow,12,24,Tide,15,1,5,E9,0.013,0.027,0.0263,0.0133,7e-4,13.3,0.7,5.263,NA
Ostrea lurida,Yellow,12,24,Tide,15,2,5,E10,0.0352,0.0458,0.0454,0.0102,4e-4,10.2,0.4,3.922,NA
Ostrea lurida,Yellow,12,24,Tide,15,3,5,E11,0.0158,0.028,0.0273,0.0115,7e-4,11.5,0.7,6.087,NA
Ostrea lurida,Yellow,12,24,Tide,15,4,5,E12,0.0156,0.0316,0.0306,0.015,0.001,15,1,6.667,NA
Ostrea lurida,Yellow,12,24,Tide,15,5,5,F1,0.0165,0.0369,0.0357,0.0192,0.0012,19.2,1.2,6.25,NA
Ostrea lurida,Yellow,12,24,Tide,15,6,5,F2,0.0156,0.0279,0.027,0.0114,9e-4,11.4,0.9,7.895,NA
Ostrea lurida,Yellow,12,24,Tide,15,7,5,F3,0.0167,0.0299,0.029,0.0123,9e-4,12.3,0.9,7.317,NA
Ostrea lurida,Yellow,12,24,Tide,15,8,5,F4,0.0176,0.0319,0.0306,0.013,0.0013,13,1.3,10,NA
Ostrea lurida,Yellow,12,24,Tide,15,9,5,F5,0.0162,0.0402,0.0382,0.022,0.002,22,2,9.091,NA
Ostrea lurida,Yellow,12,24,Tide,15,10,5,F6,0.0142,0.0312,0.0303,0.0161,9e-4,16.1,0.9,5.59,NA
Ostrea lurida,Yellow,12,24,Tide,21,1,5,F7,0.0187,0.0382,0.0373,0.0186,9e-4,18.6,0.9,4.839,NA
Ostrea lurida,Yellow,12,24,Tide,21,2,5,F8,0.0145,0.0244,0.0239,0.0094,5e-4,9.4,0.5,5.319,NA
Ostrea lurida,Yellow,12,24,Tide,21,3,5,F9,0.0169,0.0277,0.0271,0.0102,6e-4,10.2,0.6,5.882,NA
Ostrea lurida,Yellow,12,24,Tide,21,4,5,F10,0.0169,0.023,0.0227,0.0058,3e-4,5.8,0.3,5.172,NA
Ostrea lurida,Yellow,12,24,Tide,21,5,5,F11,0.019,0.029,0.0283,0.0093,7e-4,9.3,0.7,7.527,NA
Ostrea lurida,Yellow,12,24,Tide,21,6,5,F12,0.013,0.0451,0.0391,0.0261,0.006,26.1,6,22.989,NA
Ostrea lurida,Yellow,12,24,Tide,21,7,5,G1,0.0146,0.0247,0.0241,0.0095,6e-4,9.5,0.6,6.316,NA
Ostrea lurida,Yellow,12,24,Tide,21,8,5,G2,0.0129,0.0306,0.0296,0.0167,0.001,16.7,1,5.988,NA
Ostrea lurida,Yellow,12,24,Tide,21,9,5,G3,0.0172,0.0287,0.024,0.0068,0.0047,6.8,4.7,69.118,NA
Ostrea lurida,Yellow,12,24,Tide,21,10,5,G4,0.0157,0.0415,0.028,0.0123,0.0135,12.3,13.5,109.756,NA
Ostrea lurida,Yellow,12,24,No Tide,15,1,5,G5,0.0139,0.0447,0.0394,0.0255,0.0053,25.5,5.3,20.784,NA
Ostrea lurida,Yellow,12,24,No Tide,15,2,5,G6,0.0146,0.0422,0.0401,0.0255,0.0021,25.5,2.1,8.235,NA
Ostrea lurida,Yellow,12,24,No Tide,15,3,5,G7,0.016,0.0298,0.0288,0.0128,0.001,12.8,1,7.812,NA
Ostrea lurida,Yellow,12,24,No Tide,15,4,5,G8,0.0152,0.0303,0.0298,0.0146,5e-4,14.6,0.5,3.425,NA
Ostrea lurida,Yellow,12,24,No Tide,15,5,5,G9,0.0176,0.0374,0.036,0.0184,0.0014,18.4,1.4,7.609,NA
Ostrea lurida,Yellow,12,24,No Tide,15,6,5,G10,0.0172,0.0429,0.0415,0.0243,0.0014,24.3,1.4,5.761,NA
Ostrea lurida,Yellow,12,24,No Tide,15,7,5,G11,0.0161,0.0601,0.0555,0.0394,0.0046,39.4,4.6,11.675,NA
Ostrea lurida,Yellow,12,24,No Tide,15,8,5,G12,0.0195,0.0393,0.0383,0.0188,0.001,18.8,1,5.319,NA
Ostrea lurida,Yellow,12,24,No Tide,15,9,5,H1,0.0205,0.0471,0.0457,0.0252,0.0014,25.2,1.4,5.556,NA
Ostrea lurida,Yellow,12,24,No Tide,15,10,5,H2,0.0167,0.0354,0.0338,0.0171,0.0016,17.1,1.6,9.357,NA
Ostrea lurida,Yellow,12,24,No Tide,21,1,5,H3,0.0166,0.0407,0.0266,0.01,0.0141,10,14.1,141,NA
Ostrea lurida,Yellow,12,24,No Tide,21,2,5,H4,0.0108,0.0283,0.0386,0.0278,-0.0103,27.8,-10.3,-37.05,NA
Ostrea lurida,Yellow,12,24,No Tide,21,3,5,H5,0.0126,0.0189,0.0184,0.0058,5e-4,5.8,0.5,8.621,NA
Ostrea lurida,Yellow,12,24,No Tide,21,4,5,H6,0.0178,0.0311,0.0301,0.0123,0.001,12.3,1,8.13,NA
Ostrea lurida,Yellow,12,24,No Tide,21,5,5,H7,0.0174,0.0255,0.0252,0.0078,3e-4,7.8,0.3,3.846,NA
Ostrea lurida,Yellow,12,24,No Tide,21,6,5,H8,0.0245,0.0355,0.035,0.0105,5e-4,10.5,0.5,4.762,NA
Ostrea lurida,Yellow,12,24,No Tide,21,7,5,H9,0.0183,0.0313,0.0307,0.0124,6e-4,12.4,0.6,4.839,NA
Ostrea lurida,Yellow,12,24,No Tide,21,8,5,H10,0.0166,0.037,0.0361,0.0195,9e-4,19.5,0.9,4.615,NA
Ostrea lurida,Yellow,12,24,No Tide,21,9,5,H11,0.0155,0.0278,0.0271,0.0116,7e-4,11.6,0.7,6.034,NA
Ostrea lurida,Yellow,12,24,No Tide,21,10,5,H12,0.0131,0.0187,0.0131,0,0.0056,0,5.6,NA,*DEAD*
Ostrea lurida,Yellow,13,24,Tide,15,1,5,A1,0.0159,0.0221,0.0215,0.0056,6e-4,5.6,0.6,10.714,NA
Ostrea lurida,Yellow,13,24,Tide,15,2,5,A2,0.0195,0.037,0.0361,0.0166,9e-4,16.6,0.9,5.422,NA
Ostrea lurida,Yellow,13,24,Tide,15,3,5,A3,0.0162,0.0338,0.0328,0.0166,0.001,16.6,1,6.024,NA
Ostrea lurida,Yellow,13,24,Tide,15,4,5,A4,0.0148,0.0239,0.0234,0.0086,5e-4,8.6,0.5,5.814,NA
Ostrea lurida,Yellow,13,24,Tide,15,5,5,A5,0.02,0.0336,0.033,0.013,6e-4,13,0.6,4.615,NA
Ostrea lurida,Yellow,13,24,Tide,15,6,5,A6,0.0209,0.0348,0.0339,0.013,9e-4,13,0.9,6.923,NA
Ostrea lurida,Yellow,13,24,Tide,15,7,5,A7,0.0222,0.0384,0.0375,0.0153,9e-4,15.3,0.9,5.882,NA
Ostrea lurida,Yellow,13,24,Tide,15,8,5,A8,0.0263,0.0483,0.0472,0.0209,0.0011,20.9,1.1,5.263,NA
Ostrea lurida,Yellow,13,24,Tide,15,9,5,A9,0.0178,0.0306,0.0299,0.0121,7e-4,12.1,0.7,5.785,NA
Ostrea lurida,Yellow,13,24,Tide,15,10,5,A10,0.0146,0.0223,0.022,0.0074,3e-4,7.4,0.3,4.054,NA
