Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI
Ostrea lurida,Yellow,17,21,Tide,15,9,5,G1,0.0179,0.0286,0.0278,0.0099,8e-4,9.9,0.8,8.081
Ostrea lurida,Yellow,18,21,Tide,21,7,6,C1,0.0165,0.0299,0.0289,0.0124,0.001,12.4,1,8.065
Ostrea lurida,Yellow,6,18,Tide,21,5,3,B11,0.0192,0.0259,0.0254,0.0062,5e-4,6.2,0.5,8.065
Ostrea lurida,Yellow,2,15,Tide,21,3,1,E5,0.0192,0.0259,0.0254,0.0062,5e-4,6.2,0.5,8.065
Ostrea lurida,Yellow,14,24,No Tide,15,4,5,F4,0.019,0.0324,0.0314,0.0124,0.001,12.4,1,8.065
Ostrea lurida,Yellow,16,21,Tide,21,3,5,D1,0.0187,0.0308,0.0299,0.0112,9e-4,11.2,0.9,8.036
Ostrea lurida,Yellow,20,21,No Tide,21,5,7,C3,0.0183,0.0304,0.0295,0.0112,9e-4,11.2,0.9,8.036
Ostrea lurida,Yellow,13,24,No Tide,21,6,5,C12,0.0183,0.0452,0.0432,0.0249,0.002,24.9,2,8.032
Ostrea lurida,Yellow,16,21,No Tide,21,10,5,F4,0.0188,0.0336,0.0325,0.0137,0.0011,13.7,1.1,8.029
Ostrea lurida,Yellow,20,21,No Tide,15,3,7,B3,0.0205,0.0408,0.0393,0.0188,0.0015,18.8,1.5,7.979
Ostrea lurida,Yellow,10,18,Tide,21,2,4,G12,0.0187,0.0336,0.0325,0.0138,0.0011,13.8,1.1,7.971
Ostrea lurida,Yellow,15,24,No Tide,15,10,5,B2,0.0164,0.0313,0.0302,0.0138,0.0011,13.8,1.1,7.971
Ostrea lurida,Yellow,9,18,No Tide,15,3,4,E7,0.014,0.029,0.0279,0.0139,0.0011,13.9,1.1,7.914
Ostrea lurida,Yellow,10,18,No Tide,21,2,5,A8,0.0189,0.0339,0.0328,0.0139,0.0011,13.9,1.1,7.914
Ostrea lurida,Yellow,12,24,Tide,15,6,5,F2,0.0156,0.0279,0.027,0.0114,9e-4,11.4,0.9,7.895
Ostrea lurida,Yellow,3,15,No Tide,21,5,2,B7,0.0155,0.0237,0.0231,0.0076,6e-4,7.6,0.6,7.895
Ostrea lurida,Yellow,19,21,No Tide,15,2,6,F10,0.0186,0.0268,0.0262,0.0076,6e-4,7.6,0.6,7.895
Ostrea lurida,Yellow,16,21,Tide,15,5,5,C5,0.0194,0.0427,0.041,0.0216,0.0017,21.6,1.7,7.87
